Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,mse,lincor,mre,rmse,mae,maxae
Wed Jun 12 11:14:30 2019,4,"mse, mre, rmse, mae, maxae",5000,50,500,25,0.0094,1.0272,0.1172,0.0859,0.109,5.4483
Wed Jun 12 11:31:58 2019,5,"mse, mre, rmse, mae, maxae",5000,50,500,25,0.0105,1.6644,0.1125,0.0887,0.1145,5.7273
Wed Jun 12 11:37:38 2019,5,"mse, mre, rmse, mae, maxae",5000,50,500,10,0.0095,2.1042,0.1105,0.0862,0.1107,5.5326
Wed Jun 12 11:45:20 2019,4,"mse, mre, rmse, mae, maxae",5000,50,500,100,0.0085,1.743,0.1094,0.0831,0.107,5.3522
Wed Jun 12 11:51:09 2019,4,"mse, mre, rmse, mae, maxae",5000,50,500,200,0.0103,1.5827,0.1119,0.0881,0.1136,5.6778
Wed Jun 12 11:57:01 2019,4,"mse, mre, rmse, mae, maxae",5000,50,500,50,0.0105,1.3802,0.1122,0.0877,0.1134,5.6722
Wed Jun 12 12:16:10 2019,6,"mse, mre, rmse, mae, maxae",4000,50,500,50,0.0088,1.734,0.1093,0.0829,0.1068,5.3383
Wed Jun 12 12:27:39 2019,3,"mse, mre, rmse, mae, maxae",2000,50,500,50,0.0131,1.0654,0.1263,0.0951,0.1227,6.1347
Thu Jun 13 12:01:50 2019,6,lincor,11000,50,500,50,0.0268,0.7872,0.138,0.1409,0.1811,9.0532
Thu Jun 13 13:32:13 2019,1,"mse, mre, rmse, mae, maxae",11000,50,500,50,0.134,0.8729,0.271,0.3112,0.419,20.9518
Thu Jun 13 13:34:02 2019,1,"mse, mre, rmse, mae, maxae",11000,50,500,50,0.0136,1.92,0.1013,0.0978,0.1224,6.122000000000001
Thu Jun 13 13:34:02 2019,1,"mse, mre, rmse, mae, maxae",11000,50,500,50,0.0136,1.92,0.1013,0.0978,0.1224,6.122000000000001
Thu Jun 13 13:38:02 2019,1,"mse, lincor, rmse, mae, maxae",3000,50,500,50,0.0758,0.7662,1.7137,0.2346,0.3206,16.028
Thu Jun 13 13:38:52 2019,1,"mse, lincor, rmse, mae, maxae",3000,50,500,50,0.2207,0.7397,7.2383,0.3793,0.5144,25.7179
Thu Jun 13 13:38:52 2019,1,"mse, lincor, rmse, mae, maxae",3000,50,500,50,0.2207,0.7397,7.2383,0.3793,0.5144,25.7179
Thu Jun 13 13:50:47 2019,1,"mse, mre, rmse, mae, maxae",6000,50,500,50,0.0144,3.5152,0.2024,0.1153,0.1482,7.4087
Thu Jun 13 13:55:17 2019,1,"mse, mre, rmse, mae, maxae",5000,50,500,50,0.0804,0.9269,0.3916,0.2707,0.3519,17.5933
Thu Jun 13 13:56:14 2019,1,lincor,5000,50,500,50,0.3192,0.6511,0.3973,0.5441,0.7447,37.2345
